artist_id,canonical_name,aliases_json,source,updated_at,is_enabled,ticketjam_watch,ticketjam_benchmark_tier,ticketjam_watch_reason
wd:Q124022792,+(Kr)ystal Eyes,[],wikidata,2026-05-01,1,0,,
wd:Q12579912,015B,"[""공일오비""]",wikidata,2026-02-24,1,0,,
wd:Q307482,100%,"[""백퍼센트""]",wikidata,2026-02-24,1,0,,
wd:Q115958315,109,[],wikidata,2026-05-01,1,0,,
wd:Q493329,10cm,"[""십센치"", ""권정열"", ""윤철종""]",wikidata,2026-05-01,1,0,,
wd:Q113512285,11キティズ,[],wikidata,2026-05-01,1,0,,
wd:Q133873460,13파운드,[],wikidata,2026-02-24,1,0,,
wd:Q117435016,1415,[],wikidata,2026-05-01,1,0,,
wd:Q50374980,14U,[],wikidata,2026-02-24,1,0,,
wd:Q491777,15&,"[""15 And"", ""Fifteen &"", ""Fifteen And"", ""Fifteen&"", ""피프틴앤드""]",wikidata,2026-02-24,1,0,,
wd:Q123461767,1CHU,[],wikidata,2026-05-01,1,0,,
wd:Q50865638,1NB,"[""One New Best"", ""원앤비""]",wikidata,2026-05-01,1,0,,
wd:Q97350401,1PS,[],wikidata,2026-02-24,1,0,,
wd:Q19855050,1Punch,[],wikidata,2026-05-01,1,0,,
wd:Q61652710,1THE9,"[""1the9""]",wikidata,2026-02-24,1,0,,
wd:Q485884,1TYM,"[""One Time"", ""Once Take Your Mind"", ""원 타임"", ""원타임"", ""ワンタイム""]",wikidata,2026-02-24,1,0,,
wd:Q63724459,1Team,[],wikidata,2026-02-24,1,0,,
wd:Q98140393,1kyne,"[""Kim Randy""]",wikidata,2026-05-01,1,0,,
wd:Q12609315,1sagain,[],wikidata,2026-05-01,1,0,,
wd:Q135703335,1soyun,"[""Won So-yun"", ""Won Soyun""]",wikidata,2026-05-01,1,0,,
wd:Q64796771,20 Years Of Age,[],wikidata,2026-05-01,1,0,,
wd:Q16146912,2000 Won,"[""2000won"", ""Icheon won"", ""Icheonwon"", ""Ichun won"", ""Ichunwon""]",wikidata,2026-02-24,1,0,,
wd:Q114358697,21univ.,[],wikidata,2026-05-01,1,0,,
wd:Q110113838,220VOLT,[],wikidata,2026-05-01,1,0,,
wd:Q99733695,24,"[""24 (composer)""]",wikidata,2026-05-01,1,0,,
wd:Q12621311,24K,"[""투포케이""]",wikidata,2026-02-24,1,0,,
wd:Q125200751,24K+,[],wikidata,2026-05-01,1,0,,
wd:Q122236747,250,"[""Lee Ho-hyeong""]",wikidata,2026-02-24,1,0,,
wd:Q127856520,27Elephant,[],wikidata,2026-05-01,1,0,,
wd:Q498701,2AM,"[""2 AM"", ""2:00 AM"", ""2:00AM"", ""2에이엠"", ""투AM"", ""투에이엠""]",wikidata,2026-02-24,1,0,,
wd:Q12580566,2BiC,"[""2BIC"", ""투빅""]",wikidata,2026-02-24,1,0,,
wd:Q14298828,2EYES,[],wikidata,2026-02-24,1,0,,
wd:Q98099397,2F,[],wikidata,2026-05-01,1,0,,
wd:Q16097960,2NB,"[""김효진"", ""투앤비""]",wikidata,2026-02-24,1,0,,
wd:Q171885,2NE1,"[""21New Evolution"", ""2New Evolution1"", ""To Anyone"", ""투애니원""]",wikidata,2026-02-24,1,0,,
wd:Q55602736,2NISE,[],wikidata,2026-05-01,1,0,,
wd:Q222760,2PM,"[""2 PM"", ""2:00 PM"", ""2:00PM"", ""투피엠""]",wikidata,2026-02-24,1,0,,
wd:Q24856791,2Shai,[],wikidata,2026-05-01,1,0,,
wd:Q10846022,2YOON,"[""Ssangyoon""]",wikidata,2026-02-24,1,0,,
wd:Q117435251,2Z,[],wikidata,2026-05-01,1,0,,
wd:Q24862475,2soo,[],wikidata,2026-05-01,1,0,,
wd:Q52062975,3RACHA,[],wikidata,2026-02-24,1,0,,
wd:Q65269682,3YE,[],wikidata,2026-02-24,1,0,,
wd:Q133538615,3piece,[],wikidata,2026-02-24,1,0,,
wd:Q10854392,3号線バタフライ,[],wikidata,2026-05-01,1,0,,
wd:Q6875258,4 Tomorrow,[],wikidata,2026-05-01,1,0,,
wd:Q12580615,40,"[""キム・ハンジュン""]",wikidata,2026-05-01,1,0,,
wd:Q114950376,4001,[],wikidata,2026-05-01,1,0,,
wd:Q117435244,406호 프로젝트,[],wikidata,2026-05-01,1,0,,
wd:Q111640292,44MAGNUMB,[],wikidata,2026-05-01,1,0,,
wd:Q12580616,45RPM,"[""45rpm"", ""사십오알피엠""]",wikidata,2026-05-01,1,0,,
wd:Q12580617,49 Morphines,"[""49 morphines""]",wikidata,2026-05-01,1,0,,
wd:Q17478749,4L,"[""Four Ladies""]",wikidata,2026-02-24,1,0,,
wd:Q16097857,4Men,"[""4MEN"", ""2F""]",wikidata,2026-02-24,1,0,,
wd:Q18733995,4TEN,"[""POTEN"", ""4ten""]",wikidata,2026-05-01,1,0,,
wd:Q21575456,4miles,[],wikidata,2026-05-01,1,0,,
wd:Q39682,4minute,"[""フォーミニッツ"", ""ポミニッ"", ""4 Minute"", ""포 미닛""]",wikidata,2026-02-24,1,0,,
wd:Q109455219,50kg,[],wikidata,2026-05-01,1,0,,
wd:Q486683,5Dolls,"[""5 dolls"", ""5dolls"", ""F-VE DOLLS"", ""Five Dolls""]",wikidata,2026-02-24,1,0,,
wd:Q4641505,5tion,"[""Ocean""]",wikidata,2026-02-24,1,0,,
wd:Q16935427,5urprise,"[""Surprise"", ""サプライズ"", ""5urpr!se""]",wikidata,2026-02-24,1,0,,
wd:Q85970853,75번지,[],wikidata,2026-05-01,1,0,,
wd:Q134521488,7Dayz,"[""Seven Days"", ""세븐 데이스""]",wikidata,2026-05-01,1,0,,
wd:Q18567577,7Princess,"[""칠공주"", ""컬러링 베이비 7공주""]",wikidata,2026-05-01,1,0,,
wd:Q125200744,82MAJOR,[],wikidata,2026-02-24,1,0,,
wd:Q116813012,8TURN,[],wikidata,2026-02-24,1,0,,
wd:Q117435243,9001,[],wikidata,2026-05-01,1,0,,
wd:Q133539049,90TAN,[],wikidata,2026-05-01,1,0,,
wd:Q117435395,919-23,[],wikidata,2026-05-01,1,0,,
wd:Q16096617,9와 숫자들,[],wikidata,2026-05-01,1,0,,
