source_row,venue_id,venue_name,pref_code,capacity,official_enabled,web_watch_configured,ticketjam_enabled
2,yokohama_arena,横浜アリーナ,14,17000,1,1,1
3,k_arena_yokohama,Kアリーナ横浜,14,20033,1,1,1
4,nissan_stadium,日産スタジアム,14,72327,1,0,1
5,tokyo_international_forum,東京国際フォーラム,13,5012,0,0,1
6,zepp_sapporo,Zepp札幌,01,2009,1,0,1
7,sapporo_dome,札幌ドーム,01,53000,1,1,1
8,nippon_budokan,日本武道館,13,14471,0,0,1
9,tokyo_dome,東京ドーム,13,55000,1,1,1
10,saitama_super_arena,GMOアリーナさいたま,11,37000,1,1,1
11,kyocera_dome_osaka,京セラドーム大阪,27,55000,1,1,1
12,osaka_jo_hall,大阪城ホール,27,16000,1,0,1
13,vantelin_dome_nagoya,バンテリンドームナゴヤ,23,49427,1,1,1
14,fukuoka_paypay_dome,みずほPayPayドーム福岡,40,52500,1,1,1
15,makuhari_messe,幕張メッセ,12,9000,1,0,1
16,zozo_marine_stadium,ZOZOマリンスタジアム,12,29635,1,0,1
17,pia_arena_mm,ぴあアリーナMM,14,12360,1,0,1
18,portmesse_nagoya,ポートメッセなごや,23,15000,1,0,0
19,asue_arena_osaka,Asueアリーナ大阪,27,10000,1,0,1
20,mufg_stadium,味の素スタジアム,13,49970,1,1,1
21,marine_messe_fukuoka,マリンメッセ福岡,40,15000,1,0,1
22,nhk_hall,NHKホール,13,3601,0,0,1
23,zepp_haneda,Zepp Haneda(Tokyo),13,2886,1,0,1
24,zepp_divercity,Zepp DiverCity(Tokyo),13,2473,1,0,1
25,belluna_dome,ベルーナドーム,11,33556,1,1,1
26,zepp_namba,Zepp Namba(Osaka),27,2530,1,0,1
27,zepp_nagoya,Zepp Nagoya,23,1796,0,0,1
28,zepp_fukuoka,Zepp Fukuoka,40,1526,0,0,1
29,zepp_osaka_bayside,Zepp Osaka Bayside,27,2801,1,0,1
30,festival_hall,フェスティバルホール,27,2700,1,0,0
31,ariake_arena,有明アリーナ,13,15000,1,1,1
32,yoyogi_gymnasium,国立代々木競技場第一体育館,13,12542,1,0,1
33,tokyo_garden_theater,東京ガーデンシアター,13,8000,1,0,1
34,tdc_hall,TOKYO DOME CITY HALL,13,3120,1,0,1
35,toyosu_pit,豊洲PIT,13,3103,1,0,1
36,yanmar_stadium_nagai,ヤンマースタジアム長居,27,47816,1,1,1
37,lalaarena_tokyobay,ららアリーナ 東京ベイ,12,10000,0,0,1
38,ecopa_arena,エコパアリーナ,22,10000,0,0,0
39,makomanai_sekisuiheim_ice_arena,真駒内セキスイハイムアイスアリーナ,01,10024,0,0,1
40,anabuki_arena_kagawa,あなぶきアリーナ香川,37,10000,0,0,0
41,saitama_stadium_2002,埼玉スタジアム2002,11,63700,0,0,1
42,todoroki_stadium,Uvanceとどろきスタジアム by Fujitsu,14,27495,0,0,0
43,suntory_hall,サントリーホール,13,2006,0,0,0
44,yokohama_fad,横浜F.A.D,14,,0,0,0
45,shibuya_club_quattro,渋谷クラブクアトロ,13,800,0,0,0
46,umeda_club_quattro,梅田クラブクアトロ,27,650,0,0,0
47,liquidroom,LIQUIDROOM,13,900,0,0,0
48,kt_zepp_yokohama,KT Zepp Yokohama,14,2146,0,0,1
49,spotify_o_east,Spotify O-EAST,13,1300,0,0,0
50,line_cube_shibuya,LINE CUBE SHIBUYA,13,1956,0,0,1
51,zepp_shinjuku,Zepp Shinjuku(TOKYO),13,1500,0,0,1
52,bigcat,BIGCAT,27,,0,0,0
53,gorilla_hall_osaka,GORILLA HALL OSAKA,27,1300,0,0,0
54,club_citta,クラブチッタ,14,1300,0,0,0
55,shibuya_www_x,渋谷WWW X,13,700,0,0,0
56,shibuya_www,渋谷WWW,13,450,0,0,0
57,chiba_look,千葉LOOK,12,,0,0,0
58,nagoya_club_quattro,名古屋クラブクアトロ,23,500,0,0,0
59,tokyo_geijutsu_theatre_concert_hall,東京芸術劇場 コンサートホール,13,1999,0,0,0
60,orix_theater,オリックス劇場,27,2400,0,0,0
61,sekisuiheim_super_arena,セキスイハイムスーパーアリーナ,04,7063,0,0,0
62,yokohama_minatomirai_hall,横浜みなとみらいホール,14,2020,0,0,0
63,duo_music_exchange,duo MUSIC EXCHANGE,13,700,0,0,0
64,shimokitazawa_shelter,下北沢 SHELTER,13,250,0,0,0
65,aichi_sky_expo,愛知県国際展示場（AICHI SKY EXPO）,23,6500,0,0,0
66,toki_messe,朱鷺メッセ 新潟コンベンションセンター,15,10000,0,0,0
67,fukuoka_sunpalace,福岡サンパレス,40,2316,0,0,1
68,nihonbashi_mitsui_hall,日本橋三井ホール,13,690,0,0,0
69,asakusa_kagekijo,浅草花劇場,13,526,0,0,0
70,edogawa_cultural_center_hall,江戸川区総合文化センター 大ホール,13,1497,0,0,0
71,makomanai_open_stadium,真駒内セキスイハイムスタジアム,01,50000,0,0,1
72,escon_field_hokkaido,エスコンフィールドHOKKAIDO,01,35000,0,0,1
73,hokkai_kitayell,北海道立総合体育センター 北海きたえーる,01,10000,0,0,1
74,hitaru,札幌文化芸術劇場 hitaru,01,2302,0,0,1
75,kanamoto_hall,カナモトホール（札幌市民ホール）,01,1500,0,0,0
76,omiya_sonic_city,大宮ソニックシティ 大ホール,11,2505,0,0,0
77,fukuda_denshi_arena,フクダ電子アリーナ,12,18500,0,0,1
78,chiba_port_arena,千葉ポートアリーナ メインアリーナ,12,7512,0,0,1
79,funabashi_arena,船橋アリーナ メインアリーナ,12,6000,0,0,0
80,national_stadium,国立競技場,13,67750,0,0,1
81,ryogoku_kokugikan,両国国技館,13,11098,0,0,1
82,tokyo_metropolitan_gymnasium,東京体育館,13,9308,0,0,1
83,yokohama_stadium,横浜スタジアム,14,35363,0,0,1
84,nippatsu_mitsuzawa_stadium,ニッパツ三ツ沢球技場,14,15454,0,0,1
85,pacifico_yokohama_national_hall,パシフィコ横浜 国立大ホール,14,5002,0,0,1
86,yokohama_buntai,横浜BUNTAI,14,5000,0,0,1
87,kanagawa_kenmin_hall,神奈川県民ホール 大ホール,14,2493,0,0,0
88,toyota_stadium,豊田スタジアム,23,44380,0,0,1
89,nihon_gaishi_hall,日本ガイシホール,23,10000,0,0,1
90,nagoya_congress_center_century_hall,名古屋国際会議場 センチュリーホール,23,3002,0,0,1
91,panasonic_stadium_suita,Panasonic Stadium Suita,27,40000,1,0,1
92,edion_arena_osaka,大阪府立体育会館（エディオンアリーナ大阪）,27,8000,1,0,1
93,best_denki_stadium,ベスト電器スタジアム,40,21546,0,0,1
94,kitakyushu_media_dome,北九州メディアドーム,40,18700,0,0,1
95,fukuoka_kokusai_center,福岡国際センター,40,10000,0,0,1
96,koshien_stadium,阪神甲子園球場,28,47359,0,0,1
97,noevir_stadium_kobe,ノエビアスタジアム神戸,28,30132,0,0,1
98,universiade_memorial_stadium,神戸総合運動公園ユニバー記念競技場,28,45000,0,0,1
99,glion_arena_kobe,GLION ARENA KOBE,28,10000,0,0,1
100,world_kinen_hall,ワールド記念ホール（神戸ポートアイランドホール）,28,8000,0,0,1
101,kobe_kokusai_hall,神戸国際会館 こくさいホール,28,2112,0,0,1
102,hyogo_pac_kobelco_hall,兵庫県立芸術文化センター KOBELCO 大ホール,28,2001,0,0,1
103,kobe_bunka_hall_large_hall,神戸文化ホール 大ホール,28,2043,0,0,0
104,acrie_himeji,アクリエひめじ 大ホール,28,2010,0,0,0
105,amashin_arcaic_hall,あましんアルカイックホール（尼崎市総合文化センター）,28,1820,0,0,0
